platform,ticker,event_ticker,market_id,title,event_title,team,opponent,game,away_team,home_team,market_source_type,game_classification,round,yes_subtitle,no_subtitle,status,result,open_time,close_time,expiration_time,expected_expiration_time,settlement_time,determination_time,last_price,volume,open_interest,dollar_volume,dollar_open_interest,yes_bid,yes_ask,no_bid,no_ask
kalshi,KXMARMAD-26-CONN,KXMARMAD-26,8caced0c-d725-402f-b053-69fe27ef60ea,Will UConn win the College Basketball National Championship?,Men's College Basketball Champion,UConn,Michigan,Michigan vs UConn,Michigan,UConn,championship_future_equivalent,both_mm,National Championship,UConn,UConn,closed,no,2025-10-28T18:00:00Z,2026-04-07T03:21:17Z,,2026-04-07T14:00:00Z,2026-04-07T03:51:23Z,2026-04-07T03:21:17Z,0.01,122258766,69495514,61129383,34747757,,,,
kalshi,KXMARMAD-26-MICH,KXMARMAD-26,824e4b2f-6524-48e3-b735-c64852e67805,Will Michigan win the College Basketball National Championship?,Men's College Basketball Champion,Michigan,UConn,Michigan vs UConn,Michigan,UConn,championship_future_equivalent,both_mm,National Championship,Michigan,Michigan,closed,yes,2025-10-28T18:00:00Z,2026-04-07T03:21:17Z,,2026-04-07T14:00:00Z,2026-04-07T03:51:23Z,2026-04-07T03:21:17Z,0.99,77593530,42425626,38796765,21212813,,,,
