event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB17GCSDSU,Grand Canyon at San Diego St.,Grand Canyon,San Diego St.,neither_mm
KXNCAAMBGAME-26FEB16ACTARL,Abilene Christian at Tarleton St.,Abilene Christian,Tarleton St.,neither_mm
KXNCAAMBGAME-26FEB24UNMNEV,New Mexico at Nevada,New Mexico,Nevada,neither_mm
KXNCAAMBGAME-26JAN18FAUTEM,Florida Atlantic at Temple,Florida Atlantic,Temple,neither_mm
KXNCAAMBGAME-26MAR08MEMTULN,Memphis at Tulane,Memphis,Tulane,neither_mm
KXNCAAMBGAME-26FEB18UTAHWVU,Utah at West Virginia,Utah,West Virginia,neither_mm
KXNCAAMBGAME-26FEB10OKSTASU,Oklahoma St. at Arizona St.,Oklahoma St.,Arizona St.,neither_mm
KXNCAAMBGAME-26MAR11NWIND,Northwestern at Indiana,Northwestern,Indiana,neither_mm
KXNCAAMBGAME-26FEB22FAUUNT,Florida Atlantic at North Texas,Florida Atlantic,North Texas,neither_mm
KXNCAAMBGAME-26MAR24JOESUNM,Saint Joseph's at New Mexico,Saint Joseph's,New Mexico,neither_mm
KXNCAAMBGAME-26MAR04STETEKY,Stetson at Eastern Kentucky,Stetson,Eastern Kentucky,neither_mm
KXNCAAMBGAME-26FEB16COOKJKST,Bethune-Cookman at Jackson St.,Bethune-Cookman,Jackson St.,neither_mm
KXNCAAMBGAME-26JAN18UNTTULN,North Texas at Tulane,North Texas,Tulane,neither_mm
KXNCAAMBGAME-26MAR11XAVMARQ,Xavier at Marquette,Xavier,Marquette,neither_mm
KXNCAAMBGAME-26FEB27DAYGW,Dayton at George Washington,Dayton,George Washington,neither_mm
KXNCAAMBGAME-26FEB17NEVSJSU,Nevada at San Jose St.,Nevada,San Jose St.,neither_mm
KXNCAAMBGAME-26MAR05SCSTNCCU,South Carolina St. at North Carolina Central,South Carolina St.,North Carolina Central,neither_mm
KXNCAAMBGAME-26MAR07SEAPAC,Seattle at Pacific,Seattle,Pacific,neither_mm
KXNCAAMBGAME-26MAR01COFCUNCW,Charleston at UNC Wilmington,Charleston,UNC Wilmington,neither_mm
KXNCAAMBGAME-26MAR06UNLVSDSU,UNLV at San Diego St.,UNLV,San Diego St.,neither_mm
KXNCAAMBGAME-26MAR17SFATLSA,Stephen F. Austin at Tulsa,Stephen F. Austin,Tulsa,neither_mm
KXNCAAMBGAME-26MAR11LCHIRICH,Loyola Chicago at Richmond,Loyola Chicago,Richmond,neither_mm
KXNCAAMBGAME-26FEB03INDUSC,Indiana at USC,Indiana,USC,neither_mm
KXNCAAMBGAME-26MAR10UTAHCIN,Utah at Cincinnati,Utah,Cincinnati,neither_mm
KXNCAAMBGAME-26JAN27NWSTSFA,Northwestern St. at Stephen F. Austin,Northwestern St.,Stephen F. Austin,neither_mm
KXNCAAMBGAME-26FEB06BRWNYALE,Brown at Yale,Brown,Yale,neither_mm
KXNCAAMBGAME-26FEB02UMESNCCU,Maryland-Eastern Shore at North Carolina Central,Maryland-Eastern Shore,North Carolina Central,neither_mm
KXNCAAMBGAME-26FEB24WAKEBC,Wake Forest at Boston College,Wake Forest,Boston College,neither_mm
KXNCAAMBGAME-26MAR14TLSAWICH,Tulsa at Wichita St.,Tulsa,Wichita St.,neither_mm
KXNCAAMBGAME-26FEB14NAVYCOLG,Navy at Colgate,Navy,Colgate,neither_mm
KXNCAAMBGAME-26FEB16DREXSTON,Drexel at Stony Brook,Drexel,Stony Brook,neither_mm
KXNCAAMBGAME-26FEB16SELAETAM,Southeastern Louisiana at East Texas A&M,Southeastern Louisiana,East Texas A&M,neither_mm
KXNCAAMBGAME-26JAN07GCBSU,Grand Canyon at Boise St.,Grand Canyon,Boise St.,neither_mm
KXNCAAMBGAME-26FEB04WSUORST,Washington St. at Oregon St.,Washington St.,Oregon St.,neither_mm
KXNCAAMBGAME-26FEB15DAVDAY,Davidson at Dayton,Davidson,Dayton,neither_mm
KXNCAAMBGAME-26MAR09CAMPMONM,Campbell at Monmouth,Campbell,Monmouth,neither_mm
KXNCAAMBGAME-26MAR11PROVBUT,Providence at Butler,Providence,Butler,neither_mm
KXNCAAMBGAME-26MAR12NEVGC,Nevada at Grand Canyon,Nevada,Grand Canyon,neither_mm
KXNCAAMBGAME-26MAR07WASHORE,Washington at Oregon,Washington,Oregon,neither_mm
KXNCAAMBGAME-26FEB16ULLODU,Louisiana at Old Dominion,Louisiana,Old Dominion,neither_mm
KXNCAAMBGAME-26MAR06CITCHAT,The Citadel at Chattanooga,The Citadel,Chattanooga,neither_mm
KXNCAAMBGAME-26MAR12LCHIDAV,Loyola Chicago at Davidson,Loyola Chicago,Davidson,neither_mm
KXNCAAMBGAME-26FEB12MEMUNT,Memphis at North Texas,Memphis,North Texas,neither_mm
KXNCAAMBGAME-26FEB01TULNMEM,Tulane at Memphis,Tulane,Memphis,neither_mm
KXNCAAMBGAME-26JAN19PROVMARQ,Providence at Marquette,Providence,Marquette,neither_mm
KXNCAAMBGAME-26MAR01RUTGMD,Rutgers at Maryland,Rutgers,Maryland,neither_mm
KXNCAAMBGAME-26MAR13SBONDAY,St. Bonaventure at Dayton,St. Bonaventure,Dayton,neither_mm
KXNCAAMBGAME-26MAR11WYOUNLV,Wyoming at UNLV,Wyoming,UNLV,neither_mm
KXNCAAMBGAME-26MAR05SHUIONA,Sacred Heart at Iona,Sacred Heart,Iona,neither_mm
KXNCAAMBGAME-26MAR17LIBGMU,Liberty at George Mason,Liberty,George Mason,neither_mm
KXNCAAMBGAME-26MAR13MOSULT,Missouri St. at Louisiana Tech,Missouri St.,Louisiana Tech,neither_mm
KXNCAAMBGAME-26JAN23ECUUNT,East Carolina at North Texas,East Carolina,North Texas,neither_mm
KXNCAAMBGAME-26MAR06LONGUNCA,Longwood at UNC Asheville,Longwood,UNC Asheville,neither_mm
KXNCAAMBGAME-26JAN08PACPORT,Pacific at Portland,Pacific,Portland,neither_mm
KXNCAAMBGAME-26JAN24CINASU,Cincinnati at Arizona St.,Cincinnati,Arizona St.,neither_mm
KXNCAAMBGAME-26FEB18AUBMSST,Auburn at Mississippi St.,Auburn,Mississippi St.,neither_mm
KXNCAAMBGAME-26MAR08GASOMRSH,Georgia Southern at Marshall,Georgia Southern,Marshall,neither_mm
KXNCAAMBGAME-26FEB19TULNUNT,Tulane at North Texas,Tulane,North Texas,neither_mm
KXNCAAMBGAME-26JAN16MARQDEP,Marquette at DePaul,Marquette,DePaul,neither_mm
KXNCAAMBGAME-26FEB11CALSYR,California at Syracuse,California,Syracuse,neither_mm
KXNCAAMBGAME-26FEB10MILWIUIN,Milwaukee at IU Indy,Milwaukee,IU Indy,neither_mm
KXNCAAMBGAME-26MAR18UICCAL,UIC at California,UIC,California,neither_mm
KXNCAAMBGAME-26FEB25WSULMU,Washington St. at Loyola Marymount,Washington St.,Loyola Marymount,neither_mm
KXNCAAMBGAME-26JAN19GWGMU,George Washington at George Mason,George Washington,George Mason,neither_mm
KXNCAAMBGAME-26FEB14YALEHARV,Yale at Harvard,Yale,Harvard,neither_mm
KXNCAAMBGAME-26FEB13GMUGW,George Mason at George Washington,George Mason,George Washington,neither_mm
KXNCAAMBGAME-26FEB11UNMGC,New Mexico at Grand Canyon,New Mexico,Grand Canyon,neither_mm
KXNCAAMBGAME-26JAN09USCMINN,USC at Minnesota,USC,Minnesota,neither_mm
KXNCAAMBGAME-26MAR24ILSTDAY,Illinois St. at Dayton,Illinois St.,Dayton,neither_mm
KXNCAAMBGAME-26FEB05UVMME,Vermont at Maine,Vermont,Maine,neither_mm
KXNCAAMBGAME-26MAR17DAVOKST,Davidson at Oklahoma St.,Davidson,Oklahoma St.,neither_mm
KXNCAAMBGAME-26JAN13GTWNCREI,Georgetown at Creighton,Georgetown,Creighton,neither_mm
KXNCAAMBGAME-26JAN13MDUSC,Maryland at USC,Maryland,USC,neither_mm
KXNCAAMBGAME-26MAR08BUNAVY,Boston University at Navy,Boston University,Navy,neither_mm
KXNCAAMBGAME-26FEB22UABMEM,UAB at Memphis,UAB,Memphis,neither_mm
KXNCAAMBGAME-26FEB26UCICSN,UC Irvine at Cal State Northridge,UC Irvine,Cal State Northridge,neither_mm
KXNCAAMBGAME-26FEB04WCUUNCG,Western Carolina at UNC Greensboro,Western Carolina,UNC Greensboro,neither_mm
KXNCAAMBGAME-26FEB12NJITUNH,NJIT at New Hampshire,NJIT,New Hampshire,neither_mm
KXNCAAMBGAME-26MAR08SFORST,San Francisco at Oregon St.,San Francisco,Oregon St.,neither_mm
KXNCAAMBGAME-26MAR04UNAFGCU,North Alabama at Florida Gulf Coast,North Alabama,Florida Gulf Coast,neither_mm
KXNCAAMBGAME-26MAR06SEMOMORE,Southeast Missouri St. at Morehead St.,Southeast Missouri St.,Morehead St.,neither_mm
KXNCAAMBGAME-26FEB24SFPANHC,St. Francis (PA) at New Haven,St. Francis (PA),New Haven,neither_mm
KXNCAAMBGAME-26FEB17AFAUNM,Air Force at New Mexico,Air Force,New Mexico,neither_mm
KXNCAAMBGAME-26MAR06UICMURR,UIC at Murray St.,UIC,Murray St.,neither_mm
KXNCAAMBGAME-26MAR18GWUVU,George Washington at Utah Valley,George Washington,Utah Valley,neither_mm
KXNCAAMBGAME-26FEB15SFUSD,San Francisco at San Diego,San Francisco,San Diego,neither_mm
KXNCAAMBGAME-26MAR05UCDLBSU,UC Davis at Long Beach St.,UC Davis,Long Beach St.,neither_mm
KXNCAAMBGAME-26FEB27GASOMRSH,Georgia Southern at Marshall,Georgia Southern,Marshall,neither_mm
KXNCAAMBGAME-26FEB01URIDUQ,Rhode Island at Duquesne,Rhode Island,Duquesne,neither_mm
KXNCAAMBGAME-26MAR11UCSBUCD,UC Santa Barbara at UC Davis,UC Santa Barbara,UC Davis,neither_mm
KXNCAAMBGAME-26FEB15MANCAN,Manhattan at Canisius,Manhattan,Canisius,neither_mm
KXNCAAMBGAME-26APR01BAYMINN,Baylor at Minnesota,Baylor,Minnesota,neither_mm
KXNCAAMBGAME-26MAR12URIDUQ,Rhode Island at Duquesne,Rhode Island,Duquesne,neither_mm
