away_team,away_team_clean,close_time,determination_time,dollar_open_interest,dollar_volume,event_series_ticker,event_subtitle,event_ticker,event_title,expected_expiration_time,expiration_time,game,game_classification,game_clean,home_team,home_team_clean,last_price,market_id,market_source_type,no_ask,no_bid,no_subtitle,open_interest,open_time,opponent,opponent_clean,platform,result,round,settlement_time,status,team,team_clean,ticker,title,volume,yes_ask,yes_bid,yes_subtitle
Long Island,Long Island,2026-03-20T19:42:25Z,2026-03-20T19:42:27Z,5116034,5775920,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20LIUARIZ,LIU at Arizona,2026-03-20T20:00:00Z,,Long Island vs Arizona,both_mm,Long Island vs Arizona,Arizona,Arizona,0.01,63c2c119-9963-495b-8430-e5a72b086383,game_winner,,,LIU,10232068,2026-03-15T22:47:00Z,Arizona,Arizona,kalshi,no,,2026-03-20T19:47:31Z,closed,LIU,Long Island,KXNCAAMBGAME-26MAR20LIUARIZ-LIU,LIU at Arizona Winner?,11551840,,,LIU
Wright St.,Wright State,2026-03-20T20:01:17Z,2026-03-20T20:01:19Z,3501836,6129881,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20WRSTUVA,Wright St. at Virginia,2026-03-20T20:00:00Z,,Wright St. vs Virginia,both_mm,Wright State vs Virginia,Virginia,Virginia,0.99,7f5b2c83-a6a6-4492-8edb-be6611948659,game_winner,,,Virginia,7003672,2026-03-15T22:47:00Z,Wright St.,Wright State,kalshi,yes,,2026-03-20T20:06:21Z,closed,Virginia,Virginia,KXNCAAMBGAME-26MAR20WRSTUVA-UVA,Wright St. at Virginia Winner?,12259762,,,Virginia
Wright St.,Wright State,2026-03-20T20:01:17Z,2026-03-20T20:01:19Z,6038349,10173567,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20WRSTUVA,Wright St. at Virginia,2026-03-20T20:00:00Z,,Wright St. vs Virginia,both_mm,Wright State vs Virginia,Virginia,Virginia,0.01,defc6baf-1b75-48a4-a953-28b51fa18692,game_winner,,,Wright St.,12076698,2026-03-15T22:47:00Z,Virginia,Virginia,kalshi,no,,2026-03-20T20:06:21Z,closed,Wright St.,Wright State,KXNCAAMBGAME-26MAR20WRSTUVA-WRST,Wright St. at Virginia Winner?,20347134,,,Wright St.
Tennessee St.,Tennessee State,2026-03-20T21:25:04Z,2026-03-20T21:25:06Z,726698,1011662,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20TNSTISU,Tennessee St. at Iowa St.,2026-03-20T20:00:00Z,,Tennessee St. vs Iowa St.,both_mm,Tennessee State vs Iowa State,Iowa St.,Iowa State,0.99,1800f8cd-3d75-41ad-b892-dc37ec287260,game_winner,,,Iowa St.,1453396,2026-03-15T22:47:00Z,Tennessee St.,Tennessee State,kalshi,yes,,2026-03-20T21:30:11Z,closed,Iowa St.,Iowa State,KXNCAAMBGAME-26MAR20TNSTISU-ISU,Tennessee St. at Iowa St. Winner?,2023324,,,Iowa St.
Tennessee St.,Tennessee State,2026-03-20T21:25:04Z,2026-03-20T21:25:06Z,3392587,4273718,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20TNSTISU,Tennessee St. at Iowa St.,2026-03-20T20:00:00Z,,Tennessee St. vs Iowa St.,both_mm,Tennessee State vs Iowa State,Iowa St.,Iowa State,0.01,21261920-7789-45c3-a291-0f9c25252dcd,game_winner,,,Tennessee St.,6785174,2026-03-15T22:47:00Z,Iowa St.,Iowa State,kalshi,no,,2026-03-20T21:30:11Z,closed,Tennessee St.,Tennessee State,KXNCAAMBGAME-26MAR20TNSTISU-TNST,Tennessee St. at Iowa St. Winner?,8547436,,,Tennessee St.
Hofstra,Hofstra,2026-03-20T21:31:51Z,2026-03-20T21:31:53Z,2962832,5117241,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20HOFALA,Hofstra at Alabama,2026-03-20T20:00:00Z,,Hofstra vs Alabama,both_mm,Hofstra vs Alabama,Alabama,Alabama,0.99,b5c1f7ab-f597-426b-948f-3dc2779904d7,game_winner,,,Alabama,5925664,2026-03-15T22:47:00Z,Hofstra,Hofstra,kalshi,yes,,2026-03-20T21:37:01Z,closed,Alabama,Alabama,KXNCAAMBGAME-26MAR20HOFALA-ALA,Hofstra at Alabama Winner?,10234482,,,Alabama
Hofstra,Hofstra,2026-03-20T21:31:51Z,2026-03-20T21:31:53Z,4430071,7198158,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20HOFALA,Hofstra at Alabama,2026-03-20T20:00:00Z,,Hofstra vs Alabama,both_mm,Hofstra vs Alabama,Alabama,Alabama,0.01,10eb0fab-c8ff-4d65-995c-cde089e1c742,game_winner,,,Hofstra,8860142,2026-03-15T22:47:00Z,Alabama,Alabama,kalshi,no,,2026-03-20T21:37:01Z,closed,Hofstra,Hofstra,KXNCAAMBGAME-26MAR20HOFALA-HOF,Hofstra at Alabama Winner?,14396316,,,Hofstra
Utah St.,Utah State,2026-03-20T22:32:08Z,2026-03-20T22:32:10Z,4444891,9236821,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20USUVILL,Utah St. at Villanova,2026-03-20T20:00:00Z,,Utah St. vs Villanova,both_mm,Utah State vs Villanova,Villanova,Villanova,0.99,0fa19c3c-2944-4f60-b0ee-85f1a847c31f,game_winner,,,Utah St.,8889782,2026-03-15T22:47:00Z,Villanova,Villanova,kalshi,yes,,2026-03-20T22:37:11Z,closed,Utah St.,Utah State,KXNCAAMBGAME-26MAR20USUVILL-USU,Utah St. at Villanova Winner?,18473642,,,Utah St.
Utah St.,Utah State,2026-03-20T22:32:08Z,2026-03-20T22:32:10Z,5294380,9910353,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20USUVILL,Utah St. at Villanova,2026-03-20T20:00:00Z,,Utah St. vs Villanova,both_mm,Utah State vs Villanova,Villanova,Villanova,0.01,6048bf8d-4272-45bb-b6e7-a819d7860765,game_winner,,,Villanova,10588760,2026-03-15T22:47:00Z,Utah St.,Utah State,kalshi,no,,2026-03-20T22:37:11Z,closed,Villanova,Villanova,KXNCAAMBGAME-26MAR20USUVILL-VILL,Utah St. at Villanova Winner?,19820706,,,Villanova
Miami (Ohio),Miami (Ohio),2026-03-20T22:39:22Z,2026-03-20T22:39:24Z,7272816,9109073,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20MOHTENN,Miami (OH) at Tennessee,2026-03-20T23:25:00Z,,Miami (Ohio) vs Tennessee,both_mm,Miami (Ohio) vs Tennessee,Tennessee,Tennessee,0.01,b7d25fdf-c17e-4b41-84f1-8543d55e88dd,game_winner,,,Miami (OH),14545632,2026-03-19T03:36:00Z,Tennessee,Tennessee,kalshi,no,,,closed,Miami (OH),Miami (Ohio),KXNCAAMBGAME-26MAR20MOHTENN-MOH,Miami (OH) at Tennessee Winner?,18218146,,,Miami (OH)
Miami (Ohio),Miami (Ohio),2026-03-20T22:39:22Z,2026-03-20T22:39:24Z,1616899,2361178,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20MOHTENN,Miami (OH) at Tennessee,2026-03-20T23:25:00Z,,Miami (Ohio) vs Tennessee,both_mm,Miami (Ohio) vs Tennessee,Tennessee,Tennessee,0.99,c9a2cd56-c058-4ccb-b572-d1b45e002fa5,game_winner,,,Tennessee,3233798,2026-03-19T03:36:00Z,Miami (Ohio),Miami (Ohio),kalshi,yes,,,closed,Tennessee,Tennessee,KXNCAAMBGAME-26MAR20MOHTENN-TENN,Miami (OH) at Tennessee Winner?,4722356,,,Tennessee
Iowa,Iowa,2026-03-21T01:10:14Z,2026-03-21T01:10:16Z,4597713,7848735,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20IOWACLEM,Iowa at Clemson,2026-03-20T20:00:00Z,,Iowa vs Clemson,both_mm,Iowa vs Clemson,Clemson,Clemson,0.01,18265225-7355-4a71-ac74-e2e4166839f5,game_winner,,,Clemson,9195426,2026-03-15T22:47:00Z,Iowa,Iowa,kalshi,no,,2026-03-21T01:15:21Z,closed,Clemson,Clemson,KXNCAAMBGAME-26MAR20IOWACLEM-CLEM,Iowa at Clemson Winner?,15697470,,,Clemson
Iowa,Iowa,2026-03-21T01:10:14Z,2026-03-21T01:10:16Z,4710113,8196926,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20IOWACLEM,Iowa at Clemson,2026-03-20T20:00:00Z,,Iowa vs Clemson,both_mm,Iowa vs Clemson,Clemson,Clemson,0.99,6c0475de-5d7f-4814-a0ce-3c55b28e2ba1,game_winner,,,Iowa,9420226,2026-03-15T22:47:00Z,Clemson,Clemson,kalshi,yes,,2026-03-21T01:15:21Z,closed,Iowa,Iowa,KXNCAAMBGAME-26MAR20IOWACLEM-IOWA,Iowa at Clemson Winner?,16393852,,,Iowa
Northern Iowa,Northern Iowa,2026-03-21T01:35:01Z,2026-03-21T01:35:04Z,2523838,3244159,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20UNISJU,Northern Iowa at St. John's,2026-03-20T20:00:00Z,,Northern Iowa vs St. John's,both_mm,Northern Iowa vs Saint John's,St. John's,Saint John's,0.99,11a27858-f660-4276-817b-b5dbbf9ee146,game_winner,,,St. John's,5047676,2026-03-15T22:47:00Z,Northern Iowa,Northern Iowa,kalshi,yes,,2026-03-21T01:40:11Z,closed,St. John's,Saint John's,KXNCAAMBGAME-26MAR20UNISJU-SJU,Northern Iowa at St. John's Winner?,6488318,,,St. John's
Northern Iowa,Northern Iowa,2026-03-21T01:35:01Z,2026-03-21T01:35:04Z,2172474,3473802,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20UNISJU,Northern Iowa at St. John's,2026-03-20T20:00:00Z,,Northern Iowa vs St. John's,both_mm,Northern Iowa vs Saint John's,St. John's,Saint John's,0.01,cd047598-21ff-4ec8-a544-21b0c4a03a07,game_winner,,,Northern Iowa,4344948,2026-03-15T22:47:00Z,St. John's,Saint John's,kalshi,no,,2026-03-21T01:40:11Z,closed,Northern Iowa,Northern Iowa,KXNCAAMBGAME-26MAR20UNISJU-UNI,Northern Iowa at St. John's Winner?,6947604,,,Northern Iowa
Queens (N.C.),Queens (N.C.),2026-03-21T01:37:02Z,2026-03-21T01:37:04Z,1064218,1188943,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20QUCPUR,Queens University at Purdue,2026-03-20T20:00:00Z,,Queens (N.C.) vs Purdue,both_mm,Queens (N.C.) vs Purdue,Purdue,Purdue,0.99,366d35d1-be98-4297-b19e-b7bee8c2aa56,game_winner,,,Purdue,2128436,2026-03-15T22:47:00Z,Queens (N.C.),Queens (N.C.),kalshi,yes,,2026-03-21T01:42:11Z,closed,Purdue,Purdue,KXNCAAMBGAME-26MAR20QUCPUR-PUR,Queens University at Purdue Winner?,2377886,,,Purdue
Queens (N.C.),Queens (N.C.),2026-03-21T01:37:02Z,2026-03-21T01:37:04Z,3806108,5215885,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20QUCPUR,Queens University at Purdue,2026-03-20T20:00:00Z,,Queens (N.C.) vs Purdue,both_mm,Queens (N.C.) vs Purdue,Purdue,Purdue,0.01,ab5380d6-c43e-450c-aa8f-4cfce677068b,game_winner,,,Queens University,7612216,2026-03-15T22:47:00Z,Purdue,Purdue,kalshi,no,,2026-03-21T01:42:11Z,closed,Queens University,Queens (N.C.),KXNCAAMBGAME-26MAR20QUCPUR-QUC,Queens University at Purdue Winner?,10431770,,,Queens University
UCF,UCF,2026-03-21T02:00:37Z,2026-03-21T02:00:39Z,3237527,4763147,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20UCFUCLA,UCF at UCLA,2026-03-20T20:00:00Z,,UCF vs UCLA,both_mm,UCF vs UCLA,UCLA,UCLA,0.01,9ffdd3fb-570d-401e-aaf5-67bf8aedf428,game_winner,,,UCF,6475054,2026-03-15T22:47:00Z,UCLA,UCLA,kalshi,no,,2026-03-21T02:05:41Z,closed,UCF,UCF,KXNCAAMBGAME-26MAR20UCFUCLA-UCF,UCF at UCLA Winner?,9526294,,,UCF
UCF,UCF,2026-03-21T02:00:37Z,2026-03-21T02:00:39Z,3323683,5354366,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20UCFUCLA,UCF at UCLA,2026-03-20T20:00:00Z,,UCF vs UCLA,both_mm,UCF vs UCLA,UCLA,UCLA,0.99,ddc56f23-00f1-489e-9e4a-aa4fd2d1690b,game_winner,,,UCLA,6647366,2026-03-15T22:47:00Z,UCF,UCF,kalshi,yes,,2026-03-21T02:05:41Z,closed,UCLA,UCLA,KXNCAAMBGAME-26MAR20UCFUCLA-UCLA,UCF at UCLA Winner?,10708732,,,UCLA
Prairie View A&M,Prairie View A&M,2026-03-21T03:47:16Z,2026-03-21T03:47:18Z,906027,1486188,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20PVFLA,Prairie View A&M at Florida,2026-03-21T04:25:00Z,,Prairie View A&M vs Florida,both_mm,Prairie View A&M vs Florida,Florida,Florida,0.99,3ed1621e-6e70-4834-8756-c8bf2823ebda,game_winner,,,Florida,1812054,2026-03-19T01:03:00Z,Prairie View A&M,Prairie View A&M,kalshi,yes,,2026-03-21T03:52:21Z,closed,Florida,Florida,KXNCAAMBGAME-26MAR20PVFLA-FLA,Prairie View A&M at Florida Winner?,2972376,,,Florida
Prairie View A&M,Prairie View A&M,2026-03-21T03:47:16Z,2026-03-21T03:47:18Z,7489390,8437579,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20PVFLA,Prairie View A&M at Florida,2026-03-21T04:25:00Z,,Prairie View A&M vs Florida,both_mm,Prairie View A&M vs Florida,Florida,Florida,0.01,0637104b-c9b9-40db-80ea-23e0f297444a,game_winner,,,Prairie View A&M,14978780,2026-03-19T01:03:00Z,Florida,Florida,kalshi,no,,2026-03-21T03:52:21Z,closed,Prairie View A&M,Prairie View A&M,KXNCAAMBGAME-26MAR20PVFLA-PV,Prairie View A&M at Florida Winner?,16875158,,,Prairie View A&M
Cal Baptist,California Baptist,2026-03-21T04:14:16Z,2026-03-21T04:14:18Z,2909022,3776717,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20CBUKU,California Baptist at Kansas,2026-03-20T20:00:00Z,,Cal Baptist vs Kansas,both_mm,California Baptist vs Kansas,Kansas,Kansas,0.01,58aeb2f4-50f1-4717-a67a-1a90c9ef31c6,game_winner,,,California Baptist,5818044,2026-03-15T22:47:00Z,Kansas,Kansas,kalshi,no,,2026-03-21T04:19:21Z,closed,California Baptist,California Baptist,KXNCAAMBGAME-26MAR20CBUKU-CBU,California Baptist at Kansas Winner?,7553434,,,California Baptist
Cal Baptist,California Baptist,2026-03-21T04:14:16Z,2026-03-21T04:14:18Z,1624805,2621435,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20CBUKU,California Baptist at Kansas,2026-03-20T20:00:00Z,,Cal Baptist vs Kansas,both_mm,California Baptist vs Kansas,Kansas,Kansas,0.99,36ef0fbb-4c33-47e7-ab7c-dc66435b90ff,game_winner,,,Kansas,3249610,2026-03-15T22:47:00Z,Cal Baptist,California Baptist,kalshi,yes,,2026-03-21T04:19:21Z,closed,Kansas,Kansas,KXNCAAMBGAME-26MAR20CBUKU-KU,California Baptist at Kansas Winner?,5242870,,,Kansas
Missouri,Missouri,2026-03-21T04:29:57Z,2026-03-21T04:30:00Z,5622748,9498498,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20MIZZMIA,Missouri at Miami (FL),2026-03-20T20:00:00Z,,Missouri vs Miami (FL),both_mm,Missouri vs Miami (FL),Miami (FL),Miami (FL),0.99,47626b2b-7bcb-416c-88ec-559722f440cd,game_winner,,,Miami (FL),11245496,2026-03-15T22:47:00Z,Missouri,Missouri,kalshi,yes,,2026-03-21T04:35:01Z,closed,Miami (FL),Miami (FL),KXNCAAMBGAME-26MAR20MIZZMIA-MIA,Missouri at Miami (FL) Winner?,18996996,,,Miami (FL)
Missouri,Missouri,2026-03-21T04:29:57Z,2026-03-21T04:30:00Z,4610422,7408468,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20MIZZMIA,Missouri at Miami (FL),2026-03-20T20:00:00Z,,Missouri vs Miami (FL),both_mm,Missouri vs Miami (FL),Miami (FL),Miami (FL),0.01,8c299017-e5fe-43bf-a597-ad423d9e4dae,game_winner,,,Missouri,9220844,2026-03-15T22:47:00Z,Miami (FL),Miami (FL),kalshi,no,,2026-03-21T04:35:01Z,closed,Missouri,Missouri,KXNCAAMBGAME-26MAR20MIZZMIA-MIZZ,Missouri at Miami (FL) Winner?,14816936,,,Missouri
Furman,Furman,2026-03-21T04:47:55Z,2026-03-21T04:47:57Z,2350853,3042533,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20FURCONN,Furman at UConn,2026-03-20T20:00:00Z,,Furman vs UConn,both_mm,Furman vs UConn,UConn,UConn,0.99,40c9be60-4e2c-4544-b7f6-78138c5cb3ec,game_winner,,,UConn,4701706,2026-03-15T22:47:00Z,Furman,Furman,kalshi,yes,,,closed,UConn,UConn,KXNCAAMBGAME-26MAR20FURCONN-CONN,Furman at UConn Winner?,6085066,,,UConn
Furman,Furman,2026-03-21T04:47:55Z,2026-03-21T04:47:57Z,7042098,8881592,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20FURCONN,Furman at UConn,2026-03-20T20:00:00Z,,Furman vs UConn,both_mm,Furman vs UConn,UConn,UConn,0.01,879954c4-5692-4b8e-894d-b9b7e90f2399,game_winner,,,Furman,14084196,2026-03-15T22:47:00Z,UConn,UConn,kalshi,no,,,closed,Furman,Furman,KXNCAAMBGAME-26MAR20FURCONN-FUR,Furman at UConn Winner?,17763184,,,Furman
Saint Louis,Saint Louis,2026-03-21T18:18:33Z,2026-03-21T18:18:35Z,4544643,5630752,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21SLUMICH,Saint Louis at Michigan,2026-03-21T19:10:00Z,,Saint Louis vs Michigan,both_mm,Saint Louis vs Michigan,Michigan,Michigan,0.99,c366ec2f-ce9f-4085-9e24-e9ce2c919cac,game_winner,,,Michigan,9089286,2026-03-20T04:26:00Z,Saint Louis,Saint Louis,kalshi,yes,,2026-03-21T18:23:41Z,closed,Michigan,Michigan,KXNCAAMBGAME-26MAR21SLUMICH-MICH,Saint Louis at Michigan Winner?,11261504,,,Michigan
Saint Louis,Saint Louis,2026-03-21T18:18:33Z,2026-03-21T18:18:35Z,4304430,5966791,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21SLUMICH,Saint Louis at Michigan,2026-03-21T19:10:00Z,,Saint Louis vs Michigan,both_mm,Saint Louis vs Michigan,Michigan,Michigan,0.01,57c2f1e4-0e08-422f-a790-8ad78caf6c90,game_winner,,,Saint Louis,8608860,2026-03-20T04:26:00Z,Michigan,Michigan,kalshi,no,,2026-03-21T18:23:41Z,closed,Saint Louis,Saint Louis,KXNCAAMBGAME-26MAR21SLUMICH-SLU,Saint Louis at Michigan Winner?,11933582,,,Saint Louis
Louisville,Louisville,2026-03-21T21:04:32Z,2026-03-21T21:04:34Z,3318903,5410886,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21LOUMSU,Louisville at Michigan St.,2026-03-21T20:00:00Z,,Louisville vs Michigan St.,both_mm,Louisville vs Michigan State,Michigan St.,Michigan State,0.01,86f28499-2bb4-43cc-9e8e-2208c74ab968,game_winner,,,Louisville,6637806,2026-03-19T22:47:00Z,Michigan St.,Michigan State,kalshi,no,,2026-03-21T21:09:41Z,closed,Louisville,Louisville,KXNCAAMBGAME-26MAR21LOUMSU-LOU,Louisville at Michigan St. Winner?,10821772,,,Louisville
Louisville,Louisville,2026-03-21T21:04:32Z,2026-03-21T21:04:34Z,5798927,8778270,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21LOUMSU,Louisville at Michigan St.,2026-03-21T20:00:00Z,,Louisville vs Michigan St.,both_mm,Louisville vs Michigan State,Michigan St.,Michigan State,0.99,a54fb847-3924-48b5-8e51-3c02aad9cd4a,game_winner,,,Michigan St.,11597854,2026-03-19T22:47:00Z,Louisville,Louisville,kalshi,yes,,2026-03-21T21:09:41Z,closed,Michigan St.,Michigan State,KXNCAAMBGAME-26MAR21LOUMSU-MSU,Louisville at Michigan St. Winner?,17556540,,,Michigan St.
TCU,TCU,2026-03-21T23:41:48Z,2026-03-21T23:41:50Z,4380961,6290769,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TCUDUKE,TCU at Duke,2026-03-21T20:00:00Z,,TCU vs Duke,both_mm,TCU vs Duke,Duke,Duke,0.99,59577272-b347-4ad6-bc32-8afb9e6e7ef2,game_winner,,,Duke,8761922,2026-03-19T21:17:00Z,TCU,TCU,kalshi,yes,,2026-03-21T23:46:51Z,closed,Duke,Duke,KXNCAAMBGAME-26MAR21TCUDUKE-DUKE,TCU at Duke Winner?,12581538,,,Duke
TCU,TCU,2026-03-21T23:41:48Z,2026-03-21T23:41:50Z,6376242,9794134,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TCUDUKE,TCU at Duke,2026-03-21T20:00:00Z,,TCU vs Duke,both_mm,TCU vs Duke,Duke,Duke,0.01,80178110-236f-4ddd-b067-9cf692804556,game_winner,,,TCU,12752484,2026-03-19T21:17:00Z,Duke,Duke,kalshi,no,,2026-03-21T23:46:51Z,closed,TCU,TCU,KXNCAAMBGAME-26MAR21TCUDUKE-TCU,TCU at Duke Winner?,19588268,,,TCU
Texas A&M,Texas A&M,2026-03-22T00:29:15Z,2026-03-22T00:29:17Z,1562682,2126145,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TXAMHOU,Texas A&M at Houston,2026-03-22T01:10:00Z,,Texas A&M vs Houston,both_mm,Texas A&M vs Houston,Houston,Houston,0.99,e50a2be2-bfd6-49c3-9d2a-5fdf2b1d7b9f,game_winner,,,Houston,3125364,2026-03-20T04:26:00Z,Texas A&M,Texas A&M,kalshi,yes,,2026-03-22T00:34:21Z,closed,Houston,Houston,KXNCAAMBGAME-26MAR21TXAMHOU-HOU,Texas A&M at Houston Winner?,4252290,,,Houston
Texas A&M,Texas A&M,2026-03-22T00:29:15Z,2026-03-22T00:29:17Z,1485809,1994299,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TXAMHOU,Texas A&M at Houston,2026-03-22T01:10:00Z,,Texas A&M vs Houston,both_mm,Texas A&M vs Houston,Houston,Houston,0.01,183d583e-99a4-4105-aa56-04e7647b56ae,game_winner,,,Texas A&M,2971618,2026-03-20T04:26:00Z,Houston,Houston,kalshi,no,,2026-03-22T00:34:21Z,closed,Texas A&M,Texas A&M,KXNCAAMBGAME-26MAR21TXAMHOU-TXAM,Texas A&M at Houston Winner?,3988598,,,Texas A&M
Texas,Texas,2026-03-22T01:08:38Z,2026-03-22T01:08:40Z,5907445,8725408,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TEXGONZ,Texas at Gonzaga,2026-03-22T02:10:00Z,,Texas vs Gonzaga,both_mm,Texas vs Gonzaga,Gonzaga,Gonzaga,0.01,4bc490fd-7d8d-4294-860a-c0f4596745cb,game_winner,,,Gonzaga,11814890,2026-03-20T04:46:00Z,Texas,Texas,kalshi,no,,2026-03-22T01:13:42Z,closed,Gonzaga,Gonzaga,KXNCAAMBGAME-26MAR21TEXGONZ-GONZ,Texas at Gonzaga Winner?,17450816,,,Gonzaga
Texas,Texas,2026-03-22T01:08:38Z,2026-03-22T01:08:40Z,4348829,7363266,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21TEXGONZ,Texas at Gonzaga,2026-03-22T02:10:00Z,,Texas vs Gonzaga,both_mm,Texas vs Gonzaga,Gonzaga,Gonzaga,0.99,37303ccb-276a-480d-a71b-f52b6ac444e0,game_winner,,,Texas,8697658,2026-03-20T04:46:00Z,Gonzaga,Gonzaga,kalshi,yes,,2026-03-22T01:13:42Z,closed,Texas,Texas,KXNCAAMBGAME-26MAR21TEXGONZ-TEX,Texas at Gonzaga Winner?,14726532,,,Texas
VCU,VCU,2026-03-22T02:18:52Z,2026-03-22T02:18:54Z,1895579,2655321,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21VCUILL,VCU at Illinois,2026-03-22T02:50:00Z,,VCU vs Illinois,both_mm,VCU vs Illinois,Illinois,Illinois,0.99,68282a6d-8ec1-43cc-9b0e-11771ea5c474,game_winner,,,Illinois,3791158,2026-03-20T03:56:00Z,VCU,VCU,kalshi,yes,,2026-03-22T02:24:01Z,closed,Illinois,Illinois,KXNCAAMBGAME-26MAR21VCUILL-ILL,VCU at Illinois Winner?,5310642,,,Illinois
VCU,VCU,2026-03-22T02:18:52Z,2026-03-22T02:18:54Z,3687402,5607747,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21VCUILL,VCU at Illinois,2026-03-22T02:50:00Z,,VCU vs Illinois,both_mm,VCU vs Illinois,Illinois,Illinois,0.01,fd71b462-6bd7-4178-a36a-2d307d295d6a,game_winner,,,VCU,7374804,2026-03-20T03:56:00Z,Illinois,Illinois,kalshi,no,,2026-03-22T02:24:01Z,closed,VCU,VCU,KXNCAAMBGAME-26MAR21VCUILL-VCU,VCU at Illinois Winner?,11215494,,,VCU
Vanderbilt,Vanderbilt,2026-03-22T03:16:08Z,2026-03-22T03:16:10Z,5694367,11256794,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21VANNEB,Vanderbilt at Nebraska,2026-03-21T20:00:00Z,,Vanderbilt vs Nebraska,both_mm,Vanderbilt vs Nebraska,Nebraska,Nebraska,0.99,e5d33f16-6825-49d1-9295-f353a775ccc0,game_winner,,,Nebraska,11388734,2026-03-19T21:36:00Z,Vanderbilt,Vanderbilt,kalshi,yes,,2026-03-22T03:21:11Z,closed,Nebraska,Nebraska,KXNCAAMBGAME-26MAR21VANNEB-NEB,Vanderbilt at Nebraska Winner?,22513588,,,Nebraska
Vanderbilt,Vanderbilt,2026-03-22T03:16:08Z,2026-03-22T03:16:10Z,5921208,10556801,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21VANNEB,Vanderbilt at Nebraska,2026-03-21T20:00:00Z,,Vanderbilt vs Nebraska,both_mm,Vanderbilt vs Nebraska,Nebraska,Nebraska,0.01,f9c30dc8-a198-4a53-a9b2-297e1e989282,game_winner,,,Vanderbilt,11842416,2026-03-19T21:36:00Z,Nebraska,Nebraska,kalshi,no,,2026-03-22T03:21:11Z,closed,Vanderbilt,Vanderbilt,KXNCAAMBGAME-26MAR21VANNEB-VAN,Vanderbilt at Nebraska Winner?,21113602,,,Vanderbilt
High Point,High Point,2026-03-22T03:53:16Z,2026-03-22T03:53:18Z,4403777,6760810,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21HPARK,High Point at Arkansas,2026-03-21T20:00:00Z,,High Point vs Arkansas,both_mm,High Point vs Arkansas,Arkansas,Arkansas,0.99,c24d7e69-e3af-42a9-8b2b-42c0a589c10d,game_winner,,,Arkansas,8807554,2026-03-19T22:46:00Z,High Point,High Point,kalshi,yes,,2026-03-22T03:58:21Z,closed,Arkansas,Arkansas,KXNCAAMBGAME-26MAR21HPARK-ARK,High Point at Arkansas Winner?,13521620,,,Arkansas
High Point,High Point,2026-03-22T03:53:16Z,2026-03-22T03:53:18Z,8781303,12542695,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR21HPARK,High Point at Arkansas,2026-03-21T20:00:00Z,,High Point vs Arkansas,both_mm,High Point vs Arkansas,Arkansas,Arkansas,0.01,a1c162d6-9225-4cc0-aaf0-62a9d70d8613,game_winner,,,High Point,17562606,2026-03-19T22:46:00Z,Arkansas,Arkansas,kalshi,no,,2026-03-22T03:58:21Z,closed,High Point,High Point,KXNCAAMBGAME-26MAR21HPARK-HP,High Point at Arkansas Winner?,25085390,,,High Point
