market_id,condition_id,question_id,token_id,question,title,event_id,event_title,event_slug,slug,status,outcomes,volume,liquidity,best_bid,best_ask,last_trade_price,start_date,end_date,team_a,team_b,game_classification,reject_reason
997112,0xb46c7b524db0113c19a52cc55dae1a2bba8642c2dfca4ce56087f08abd8ac2bf,0x682cf9f75f0d6ac8d12eca22c9fa6c33546a4339eb374b63127cedb5ef1b1a67,,,California vs. Hawaii,118099,California vs. Hawaii,cfb-cah-hawaii-2025-12-24,cfb-cah-hawaii-2025-12-24,closed,"[{'label': 'California', 'token_id': '41996979170610020272966450394564902917152261666489982731217298110368910937435', 'predexon_id': 'px-hpau2vbmjyvt', 'price': 0.0}, {'label': 'Hawaii', 'token_id': '58032360241934380307701167010847333273984700496262271922793271519406969637016', 'predexon_id': 'px-nqein3z7fvra', 'price': 1.0}]",,,,,,,,California,Hawaii,mixed_one_mm_one_not,not_cbb
673281,0x61128a17dcc76c7afa1fb58daccc3f456a4a9e9c5aeb359b140160a9ddc56746,0xdb3f32806bc20c344a3836ffd9fee116e44630b06d22e34ea7f507896cab0d95,,,Texas State vs. Southern Miss,77198,Texas State vs. Southern Miss,cfb-txst-soumis-2025-11-15,cfb-txst-soumis-2025-11-15,closed,"[{'label': 'Texas State', 'token_id': '12502520854540172115841697234430430832879691227208438610016613580542855718173', 'predexon_id': 'px-xjkuutkeva7l', 'price': 1.0}, {'label': 'Southern Miss', 'token_id': '44614025455547025832031057360722949663859741688861644577692058326229643557547', 'predexon_id': 'px-thnzpomgnzwb', 'price': 0.0}]",,,,,,,,Texas,Southern Miss,mixed_one_mm_one_not,not_cbb
1029744,0x404fd3f6a231ab1dc3e949c4c544b94d911e0597d3a4eef5b581ff9336601b34,0xbb15cc2e1a58c57dd2dfbdb532119804bd4242828a6c85f1a341f81a29e3fad7,,,Alabama vs. Indiana,125453,Alabama vs. Indiana,cfb-ala-ind-2026-01-01,cfb-ala-ind-2026-01-01,closed,"[{'label': 'Alabama', 'token_id': '55177338345205600810745478040444717610689274926726402515626371893009305876425', 'predexon_id': 'px-funqrk6irvdy', 'price': 0.0}, {'label': 'Indiana', 'token_id': '10601569859742297242580892881614341473331699091327653986218789211764689090669', 'predexon_id': 'px-25haeuxdwzne', 'price': 1.0}]",,,,,,,,Alabama,Indiana,mixed_one_mm_one_not,not_cbb
1053627,0xf70c920368b689bdd16772f9eda0959708f8cbf18742602a936460be4af836da,0x863b260fc60a770d03fa520f8559511227dc37703472fa880beb6ce6f7ca7504,,,Spread: Indiana (-7.5),125453,Alabama vs. Indiana,cfb-ala-ind-2026-01-01,cfb-ala-ind-2026-01-01-spread-home-7pt5,closed,"[{'label': 'Indiana', 'token_id': '79404463522161410598456928249150933829868716828065270115484117104777008284474', 'predexon_id': 'px-oasqd5aldmaj', 'price': 1.0}, {'label': 'Alabama', 'token_id': '5899779596420385742790970793770351439521807175853565998904177130118795015517', 'predexon_id': 'px-f7luhaqkxb2n', 'price': 0.0}]",,,,,,,,Indiana,Alabama,mixed_one_mm_one_not,not_cbb
1207246,0x3432e217c128c6a2f8cf2ff3b6a5e79de380751c937bdbdb233ff3f913afba03,0x2ef5f74022c64385fd9ce42dba9f4eb73e9fcf40ab7de9af7bf43d2d1ade4cc3,,,Utah State Aggies vs. Colorado State Rams,170352,Utah State Aggies vs. Colorado State Rams,cbb-utahst-colst-2026-01-23,cbb-utahst-colst-2026-01-23,closed,"[{'label': 'Utah State Aggies', 'token_id': '81915570392615312876104294635076855985617284623629676206763560384578937391877', 'predexon_id': 'px-6s7jpxjkexk4', 'price': 1.0}, {'label': 'Colorado State Rams', 'token_id': '68591138998367127965250023697401300721942124242179723368655462042938229100882', 'predexon_id': 'px-vhty7j67cojj', 'price': 0.0}]",,,,,,,,Utah State,Colorado State Rams,mixed_one_mm_one_not,outside_date_window
703198,0x9da3ff37ed004859707cbf2e120d3dce327b6dfc8dbf2193447417a00f418b6b,0x85c9254c9026bc525f221253af2001776c847383e2e3c83da9c9180a547d6ebf,,,North Carolina State Wolfpack vs. Boise State Broncos,90119,North Carolina State Wolfpack vs. Boise State Broncos,cbb-ncst-boise-2025-11-25,cbb-ncst-boise-2025-11-25,closed,"[{'label': 'North Carolina State Wolfpack', 'token_id': '102001903738769467900475990930610436806455632018042706151162749716586055400218', 'predexon_id': 'px-2emwgwtgmjcn', 'price': 1.0}, {'label': 'Boise State Broncos', 'token_id': '63352664087391117918915676524256229625928896522483698507923638475418781426669', 'predexon_id': 'px-ioyp3mgggxp4', 'price': 0.0}]",,,,,,,,NC State,Boise State Broncos,mixed_one_mm_one_not,outside_date_window
941094,0x6c4e44a1693702ad439d301b5002fee2f321326bf164b544bb1e1247677bbda9,0x3af3db7b46acb64791e8465d0fb63ed059e68d70a796b2a61469dd9d3451acda,,,Old Dominion vs. South Florida,105895,Old Dominion vs. South Florida,cfb-old-sfl-2025-12-17,cfb-old-sfl-2025-12-17,closed,"[{'label': 'Old Dominion', 'token_id': '52872415119790059528516144068098260568495221372370308164654340565704732994282', 'predexon_id': 'px-6gynx6rocc2r', 'price': 1.0}, {'label': 'South Florida', 'token_id': '25431951355778543049035850659359418296954963776552784930042271936702282491742', 'predexon_id': 'px-cmzubq5ihp4x', 'price': 0.0}]",,,,,,,,Old Dominion,South Florida,mixed_one_mm_one_not,not_cbb
673142,0x7849d8f545da990d5aecb91d0d44ab7c772772c659a101292a907b7ee68c11b9,0x26204b9a9d1ba710bf36241ffb07b2870f8afadbda29544042c21ef37baa9fad,,,Buffalo vs. Central Michigan,77151,Buffalo vs. Central Michigan,cfb-buf-cmich-2025-11-12,cfb-buf-cmich-2025-11-12,closed,"[{'label': 'Buffalo', 'token_id': '90984476475184025034086633010925204693852116503475036366055588907863981719798', 'predexon_id': 'px-65yw4vog5wjt', 'price': 0.0}, {'label': 'Central Michigan', 'token_id': '42660351183619578043212613685699745421195431878989966240014828939955239920903', 'predexon_id': 'px-ybug7hzfpsgh', 'price': 1.0}]",,,,,,,,Buffalo,Michigan,mixed_one_mm_one_not,not_cbb
705525,0x9ff2a601d5870463140ae1ca4a977bee5630488b6bb9aa2f1abad005e2b7ae61,0x2b8f6e76a3933078ca4fce7459e4aa15b39cfdef86436a5059a34af706c4553b,,,Spread: Houston Cougars (-10.5),90992,Notre Dame Fighting Irish vs. Houston Cougars,cbb-nd-hou-2025-11-26,cbb-nd-hou-2025-11-26-spread-home-10pt5,closed,"[{'label': 'Houston Cougars', 'token_id': '37311372599257889156249439460144238247682408451219096366356186228674624182328', 'predexon_id': 'px-xs7x3n3yq53e', 'price': 0.0}, {'label': 'Notre Dame Fighting Irish', 'token_id': '49050010573780225782267280959909220827916337371126664229930346859269202649904', 'predexon_id': 'px-wuayp6qw335z', 'price': 1.0}]",,,,,,,,Houston,Notre Dame Fighting Irish,mixed_one_mm_one_not,outside_date_window
2353263,0x7a6bd71bcc1f8cbd5c207ac58a0d4ee2789a0f4e4fb31ae7812d903ef271e8a7,0x361c5c693769ff024f5e9d2172b34454b42e502299eb9c85fcc871d033e352e0,,,Chicago Cubs vs. St. Louis Cardinals,523543,Chicago Cubs vs. St. Louis Cardinals,mlb-chc-stl-2026-05-31,mlb-chc-stl-2026-05-31,closed,"[{'label': 'Chicago Cubs', 'token_id': '101499848959514781987469251454184285778482373918263765072342787847444890353071', 'predexon_id': 'px-qf6jjh6pwj5a', 'price': 0.0}, {'label': 'St. Louis Cardinals', 'token_id': '113011720858659516990914631176839710466392226020051367327316133452676786812993', 'predexon_id': 'px-6nwf5qjgpxrq', 'price': 1.0}]",,,,,,,,Chicago Cubs,Saint Louis,mixed_one_mm_one_not,not_cbb
941115,0xdf52833e285b6f8d3d341ca08aeee99b267fdff24b930eecf0290fa630886298,0x65fa6ebb71c1984e16d4e53f0e6ae0f91069ede625ef4f62f274ca632ec68789,,,Miami vs. Texas A&M,105902,Miami vs. Texas A&M,cfb-mia-txam-2025-12-20,cfb-mia-txam-2025-12-20,closed,"[{'label': 'Miami', 'token_id': '109279402282371042125359071527895031721922791211809941043112015932916264649483', 'predexon_id': 'px-burfjzrcaaql', 'price': 1.0}, {'label': 'Texas A&M', 'token_id': '104502650213466411463045311724199884208371974668649535446789190162665656808221', 'predexon_id': 'px-mmfmhdbnpc5x', 'price': 0.0}]",,,,,,,,Miami,Texas A&M,mixed_one_mm_one_not,not_cbb
1029748,0x81aa83aaad4d47ad31b81bbbcd6b9638af91a09bf1145a4113989dc6c3a3273e,0x9e6b85a72c5be910db18f3b53d867854e36ca1fce88d9cbd74db3e82fba811b9,,,Spread: Georgia (-6.5),125454,Ole Miss vs. Georgia,cfb-miss-ga-2026-01-01,cfb-miss-ga-2026-01-01-spread-home-6pt5,closed,"[{'label': 'Georgia', 'token_id': '49039677465343223133445393670925653629219223258213737203812645365871738006258', 'predexon_id': 'px-ig4odmenmyui', 'price': 0.0}, {'label': 'Ole Miss', 'token_id': '77428362051232139457088077342440257676686967150434347032558199076096718694631', 'predexon_id': 'px-2z2z5frewtki', 'price': 1.0}]",,,,,,,,Georgia,Ole Miss,mixed_one_mm_one_not,not_cbb
1946795,0x8666fd4c10a01066aded35d2cd0607252bcaf5fb78a9839be5bb6cc563f706b2,0xebe09be14b00d20addd873ccfd9ac2cbbe05988c9ac13f8701a08b247702fa9f,,,Texas Rangers vs. Seattle Mariners,367683,Texas Rangers vs. Seattle Mariners,mlb-tex-sea-2026-04-17,mlb-tex-sea-2026-04-17,closed,"[{'label': 'Texas Rangers', 'token_id': '57851794296486593204343620348491334220583037261890986366144538341507480487467', 'predexon_id': 'px-y7vtc7inx7pa', 'price': 1.0}, {'label': 'Seattle Mariners', 'token_id': '90250687417506189866561136573806716123195166108416276499427416298511705850910', 'predexon_id': 'px-gy33j7tmeve3', 'price': 0.0}]",,,,,,,,Texas,Seattle Mariners,mixed_one_mm_one_not,not_cbb
624056,0xb36991336fa973aca12aaf523ca8425e98ebfa6c5521b3f723e8d487adfe9f09,0x9f42b1bde3a2293962e2e845903d8cc6696c42e66865a877b095dbdbd1350b86,,,Oklahoma vs. Texas,55219,Oklahoma vs. Texas,cfb-okl-tx-2025-10-11,cfb-okl-tx-2025-10-11,closed,"[{'label': 'Oklahoma', 'token_id': '49945677446949854939249813961357533799656959277424929759437590321236921505383', 'predexon_id': 'px-fvujadtjdgx3', 'price': 0.0}, {'label': 'Texas', 'token_id': '104929492716875514485577985165637566324862098832337471374203033844882440829195', 'predexon_id': 'px-lwqvrgwjrdth', 'price': 1.0}]",,,,,,,,Oklahoma,Texas,mixed_one_mm_one_not,not_cbb
1860437,0x62a34e0175edc4bce80bb7088a8222535aad15f7fc51a91921c580f05e39fbcc,0x7305ff463efcae284d74c7047506798a0a4a708e6455c8920dd1b879aaed0a8b,,,Texas Rangers vs. Los Angeles Dodgers,343123,Texas Rangers vs. Los Angeles Dodgers,mlb-tex-lad-2026-04-10,mlb-tex-lad-2026-04-10,closed,"[{'label': 'Texas Rangers', 'token_id': '99237965040716747156198706150009093244910918607150806774948813739478780304538', 'predexon_id': 'px-pvq2vssczuuj', 'price': 0.0}, {'label': 'Los Angeles Dodgers', 'token_id': '72519142109348165762238956813810475240690683787619523285687459534148214121789', 'predexon_id': 'px-45zhzcki5p6j', 'price': 1.0}]",,,,,,,,Texas,Los Angeles Dodgers,mixed_one_mm_one_not,not_cbb
2490325,0x617bd276ccbc092f366d59dc997a4c67f13f809e7592498f15244933b56d9dcd,0xb4026c2f3320b4c6a60164a46fefbff56574c31bdf9ceecb1bdde5181d897459,,,Detroit Tigers vs. Houston Astros,579960,Detroit Tigers vs. Houston Astros,mlb-det-hou-2026-06-16,mlb-det-hou-2026-06-16,closed,"[{'label': 'Detroit Tigers', 'token_id': '36078836267048933154314993239492462224758108351892204962301139554682417452403', 'predexon_id': 'px-dmwo3pqu2ygz', 'price': 0.0}, {'label': 'Houston Astros', 'token_id': '50851088058082364042563950872858898678082384466518839368099421057190872803200', 'predexon_id': 'px-myosc3awjvv5', 'price': 1.0}]",,,,,,,,Detroit Tigers,Houston,mixed_one_mm_one_not,not_cbb
2361112,0x48f2db75359548df03667b6acfe4020ce18b0f9527f0ca4562c17506ae399127,0x548508ed30f982681409df9852f2d7cba215b03f2d020e767df24326a452bb93,,,Kansas City Royals vs. Cincinnati Reds,527083,Kansas City Royals vs. Cincinnati Reds,mlb-kc-cin-2026-06-01,mlb-kc-cin-2026-06-01,closed,"[{'label': 'Kansas City Royals', 'token_id': '91926727989326306580641509434027860293569406495383285472379484443296860168400', 'predexon_id': 'px-q5cyhejspjlf', 'price': 1.0}, {'label': 'Cincinnati Reds', 'token_id': '51994065055409602915992199300998186494836800281268304468019520599063428796028', 'predexon_id': 'px-z27v5opobtbp', 'price': 0.0}]",,,,,,,,Kansas,Cincinnati Reds,mixed_one_mm_one_not,not_cbb
1213522,0xff8d37e1b4fecb20c1114a81e61388b1a24197f6bc338ea1d3a8ca554e69ad57,0x5d8d9df2efaa6cf04a8bc0c3352ef3f2adb31e774f8f33e387dafd792554733f,,,Furman Paladins vs. UNCG Spartans,172428,Furman Paladins vs. UNCG Spartans,cbb-furman-ncg-2026-01-24,cbb-furman-ncg-2026-01-24,closed,"[{'label': 'Furman Paladins', 'token_id': '92986585643278228651605412055158836406123309129768618894816260075054439021465', 'predexon_id': 'px-qsj5nsmdo5tn', 'price': 1.0}, {'label': 'UNCG Spartans', 'token_id': '17863676742986423672213377727234909817799944667714272515868726566011911698743', 'predexon_id': 'px-jifq57jymqak', 'price': 0.0}]",,,,,,,,Furman,UNCG Spartans,mixed_one_mm_one_not,outside_date_window
532669,0x9e565844c71aaabca5023d61f41c290332ff46085b750d4d0db07d757f177c4d,0xb718bbcb18c9426e439e249916a19053e5c9c74378cddf3772ae3b38edb30dc9,,,Florida vs. Auburn,21871,Florida vs. Auburn,cbb-uf-aub-2025-04-05,cbb-uf-aub-2025-04-05,closed,"[{'label': 'Florida', 'token_id': '4651558520295432153224010638476547248052704872516968366067139771062616613125', 'predexon_id': 'px-n2ycc4ibxn66', 'price': 1.0}, {'label': 'Auburn', 'token_id': '78307253419658138241084306009502824099679519672241549034930483926994549852003', 'predexon_id': 'px-nsz6t553nbcr', 'price': 0.0}]",,,,,,,,Florida,Auburn,mixed_one_mm_one_not,outside_date_window
641901,0x2cf1be28fe36433b67f5c8c7ac045aa58c8365a9b269f86abc302e2e1105e256,0xc67c0cafafee9ff759dad6681625b6110e8a5f836495ff89d352264b91982479,,,California vs. Virginia Tech,62606,California vs. Virginia Tech,cfb-cah-vtech-2025-10-24,cfb-cah-vtech-2025-10-24,closed,"[{'label': 'California', 'token_id': '15684980356130957862988720106480049352938674010277319228029245526861706426840', 'predexon_id': 'px-vccmw6zuooae', 'price': 0.0}, {'label': 'Virginia Tech', 'token_id': '64581711809025882264011689503628516781551592050683755277643179311010284326085', 'predexon_id': 'px-atb5dehxrcpt', 'price': 1.0}]",,,,,,,,California,Virginia,mixed_one_mm_one_not,not_cbb
1029720,0xeffb4b076374698234b50e8625eaac98c91d1540b83c7e889e99528ca71f03d6,0x59d7e9c0e5dc65e8d812ac608822446bf121fe498f38102d45763a9e73a2c027,,,USC vs. TCU,125445,USC vs. TCU,cfb-usc-tcu-2025-12-30,cfb-usc-tcu-2025-12-30,closed,"[{'label': 'USC', 'token_id': '115189248250615777717696155580879616536906662821380645404039022015448614276408', 'predexon_id': 'px-32y7ngu27nrw', 'price': 0.0}, {'label': 'TCU', 'token_id': '87973363840455373735711385775981918050826367689521183708986955469765336342090', 'predexon_id': 'px-awkjuxqpkzu7', 'price': 1.0}]",,,,,,,,USC,TCU,mixed_one_mm_one_not,not_cbb
641940,0x3a39350b952cd1484411dfef5c7df76b2ca5320c38abce7e54e3eefd14da38b8,0x70ae53a21e7dbcf810af013ee5df2ae58007e8837e784203e376a4d19002856c,,,Rutgers vs. Purdue Boilermakers,62619,Rutgers vs. Purdue Boilermakers,cfb-rutger-pur-2025-10-25,cfb-rutger-pur-2025-10-25,closed,"[{'label': 'Rutgers', 'token_id': '3889887760259165616313502267676982280659103382224326350719814218030287278925', 'predexon_id': 'px-ozxcecs6jggm', 'price': 1.0}, {'label': 'Purdue Boilermakers', 'token_id': '112622563403430241472714740655735688969983519666302836349948385602595301973815', 'predexon_id': 'px-qzog7vad6u3j', 'price': 0.0}]",,,,,,,,Rutgers,Purdue,mixed_one_mm_one_not,not_cbb
687932,0x713e497584739df7c461addeb01cbb09066ad484c8f2f5147807b1a0c9344301,0xc0a89a88efa01b039b7b81ef57bc07d51c95f29bfc42fe8e6f23ada73107a5ad,,,Utah State vs. Fresno State,83888,Utah State vs. Fresno State,cfb-utahst-frest-2025-11-22,cfb-utahst-frest-2025-11-22,closed,"[{'label': 'Utah State', 'token_id': '100480309269575900177872808547594708278417251788350572454219940341583861646844', 'predexon_id': 'px-ipwpgarquxdd', 'price': 1.0}, {'label': 'Fresno State', 'token_id': '10480210608955224062000717930114946804405244260887638985794410598788461401673', 'predexon_id': 'px-mwse5f7zaply', 'price': 0.0}]",,,,,,,,Utah State,Fresno State,mixed_one_mm_one_not,not_cbb
790752,0x890583532a17ef17c9d196005c78168bc8399aa525059ace154574b7e0b0577d,0xae402850a4c8391f3599a6ae77550fbe20357973bba6ba08f26b64b7a949d77b,,,North Texas vs. Tulane,95307,North Texas vs. Tulane,cfb-ntx-tulane-2025-12-05,cfb-ntx-tulane-2025-12-05,closed,"[{'label': 'North Texas', 'token_id': '106030380401728095172804925879144487064714302208793465659991701064663527590860', 'predexon_id': 'px-nc54zjx7tnhy', 'price': 0.0}, {'label': 'Tulane', 'token_id': '64593616229088584770916490166157825674164301688945646722349952237376476851137', 'predexon_id': 'px-xzfu6kyonsy3', 'price': 1.0}]",,,,,,,,Texas,Tulane,mixed_one_mm_one_not,not_cbb
2427526,0xb91bcf97aed2a45f079de5a8683035e8505562523bc2b643518175ee11fb7bed,0xbdbc92c59c9b5b78b21e00294411863bebb239dafd6005300b9fc0fee3366518,,,Arizona Diamondbacks vs. Miami Marlins,555170,Arizona Diamondbacks vs. Miami Marlins,mlb-ari-mia-2026-06-09,mlb-ari-mia-2026-06-09,closed,"[{'label': 'Arizona Diamondbacks', 'token_id': '24966866628666790729984033039889044480255111454766340822693895037219873864109', 'predexon_id': 'px-thkbx3k4madx', 'price': 0.0}, {'label': 'Miami Marlins', 'token_id': '31232421682960001105826623941217547138998834298705166871879814019888783572321', 'predexon_id': 'px-sitgxgqusoly', 'price': 1.0}]",,,,,,,,Arizona,Miami Marlins,mixed_one_mm_one_not,not_cbb
673184,0x6c8908bab512d1af0925e4c19ac675f4c835ab2eabc2d091ef7ffadd126fc62c,0xec5b9d2e130ff230d110db07bf15fc5b9b8d93957b6173ded65ca9cec5864f3d,,,South Carolina vs. Texas A&M,77165,South Carolina vs. Texas A&M,cfb-sc-txam-2025-11-15,cfb-sc-txam-2025-11-15,closed,"[{'label': 'South Carolina', 'token_id': '51949223488306938253841499604713754996687100426608956708820807695784347849766', 'predexon_id': 'px-rerwt5esqgdf', 'price': 0.0}, {'label': 'Texas A&M', 'token_id': '6230517288861281329914831994010423752014343921274302687787587576709215448697', 'predexon_id': 'px-eixdvet4mdbs', 'price': 1.0}]",,,,,,,,South Carolina,Texas A&M,mixed_one_mm_one_not,not_cbb
2339621,0x937bca76e94824d59a5d3c5d58c7b8470832005a38b7a45e4b059034119a69c5,0x7d95e318e17a82cbef024efc6b0a37b6849945e3de8fc3e0575da8e6cdad243b,,,Arizona Diamondbacks vs. Seattle Mariners,516901,Arizona Diamondbacks vs. Seattle Mariners,mlb-ari-sea-2026-05-29,mlb-ari-sea-2026-05-29,closed,"[{'label': 'Arizona Diamondbacks', 'token_id': '67100866537918448863211383398587860868785657368034430872233458523507984384368', 'predexon_id': 'px-zg2i3hphn5kz', 'price': 0.0}, {'label': 'Seattle Mariners', 'token_id': '7672278326893631243134950633892893864209325817573148461258083998648454433008', 'predexon_id': 'px-zf35ov6iyazr', 'price': 1.0}]",,,,,,,,Arizona,Seattle Mariners,mixed_one_mm_one_not,not_cbb
