source,event_id,event_title,event_slug,market_id,condition_id,question_id,question,title,slug,outcomes,clob_token_ids,closed,active,volume,liquidity,start_date,end_date,team_a_clean,team_b_clean,game_clean,market_source_type
polymarket_gamma_slug,274169,Hawaii Rainbow Warriors vs. Arkansas Razorbacks,cbb-hawaii-ark-2026-03-19,1602031,0x231c6c3ccff8c6872ef2d2795a70799a8483b97adab86b0adb7e0abb52e65554,0xcbd007b8290e7618770442be91cfe2c771079e3fee125afc98fdb0ac6c719bdd,Hawaii Rainbow Warriors vs. Arkansas Razorbacks,Hawaii Rainbow Warriors vs. Arkansas Razorbacks,cbb-hawaii-ark-2026-03-19,"[""Hawaii Rainbow Warriors"", ""Arkansas Razorbacks""]","[""111285681397453829083749098730190303781369482965681151498085797450573114783420"", ""91305714843440087528678011601178789708752825938382623719554889290326802694751""]",True,True,,,2026-03-15T23:07:42.529453Z,2026-03-19T04:00:00Z,Hawaii,Arkansas,Hawaii vs Arkansas,game_winner
polymarket_gamma_slug,274177,Idaho Vandals vs. Houston Cougars,cbb-idaho-hou-2026-03-19,1602095,0x74f43598db97701c04c821d2cb0cd1418078fde4c71868aff2f524cb9a7db410,0xe660a0d9abd0746ba5b66f3eec77a20648abf018bb1ca2dea67ff9513c9eedf5,Idaho Vandals vs. Houston Cougars,Idaho Vandals vs. Houston Cougars,cbb-idaho-hou-2026-03-19,"[""Idaho Vandals"", ""Houston Cougars""]","[""30303840818630395425342036097160414920080450344351409266338001257015601683947"", ""4475145311217296731087102781298270910208993524500339526303354822301020879243""]",True,True,,,2026-03-15T23:05:35.107804Z,2026-03-19T04:00:00Z,Idaho,Houston,Idaho vs Houston,game_winner
polymarket_gamma_slug,291888,Miami Hurricanes vs. Purdue Boilermakers,cbb-mia-pur-2026-03-22,1668974,0x6e98165eba914614002d6462a847867bece25d7dec8c29ec6c77870b6a5b5b15,0x8ff92143c008bb7acadcc06ebde13d740deda90fa1ab986a4289d3f08e36bd9a,Miami Hurricanes vs. Purdue Boilermakers,Miami Hurricanes vs. Purdue Boilermakers,cbb-mia-pur-2026-03-22,"[""Miami Hurricanes"", ""Purdue Boilermakers""]","[""23174936636582961456223035370231131689912018591533001152034041867256444695541"", ""41689876958203396083000604965080212324957511415230803937491891625514739152109""]",True,True,,,2026-03-21T05:14:20.005345Z,2026-03-22T04:00:00Z,Miami (FL),Purdue,Miami (FL) vs Purdue,game_winner
polymarket_gamma_slug,274192,Missouri Tigers vs. Miami Hurricanes,cbb-missr-mia-2026-03-20,1602245,0x4491df698adf8d361aacc240a34d12e751f51baef01d79d523a4d498baa45fba,0x0b2a543449b1a626440f0ca9fdeb15c7c2209e328641ac1b30fd5f4fcec1885d,Missouri Tigers vs. Miami Hurricanes,Missouri Tigers vs. Miami Hurricanes,cbb-missr-mia-2026-03-20,"[""Missouri Tigers"", ""Miami Hurricanes""]","[""5533407621462204419366790705917923676675270766779491181055620828944815843041"", ""20405373265263690273095397068448682914028493604888619902586392206352942539171""]",True,True,4134305.151280973,,2026-03-15T23:09:35.236539Z,2026-03-20T04:00:00Z,Missouri,Miami (FL),Missouri vs Miami (FL),game_winner
polymarket_gamma_slug,274182,North Dakota State Bison vs. Michigan State Spartans,cbb-ndkst-mst-2026-03-19,1602148,0x2ae609994bd186406948b28d610d132771e30b0b79618302efc57d4d5de167da,0x27f92dd03d778b302cc6ed466e00699829c53dca896e10725717d3695dc8acce,North Dakota State Bison vs. Michigan State Spartans,North Dakota State Bison vs. Michigan State Spartans,cbb-ndkst-mst-2026-03-19,"[""North Dakota State Bison"", ""Michigan State Spartans""]","[""37117774055781171628696450569643118518022957725364776546944295109909297255290"", ""98647227610042006446671855515348373858227063749757924036987820626027226521356""]",True,True,,,2026-03-15T23:09:34.908233Z,2026-03-19T04:00:00Z,North Dakota State,Michigan State,North Dakota State vs Michigan State,game_winner
polymarket_gamma_slug,274175,Penn Quakers vs. Illinois Fighting Illini,cbb-penn-ill-2026-03-19,1602065,0x59ba893939deff4d8d7a558b01c00e547408d9ca6305e4e4c4e0247bbcc63a04,0x89180155681ae5fceb75cc70adfbd4dc75218309a80fddbdd4311de0465d89f9,Penn Quakers vs. Illinois Fighting Illini,Penn Quakers vs. Illinois Fighting Illini,cbb-penn-ill-2026-03-19,"[""Penn Quakers"", ""Illinois Fighting Illini""]","[""81404167820010055383499375374467265634429682969273009244958531274920188746081"", ""71788196604816936595733729779480423507342573446534526103969944547654421480053""]",True,True,,,2026-03-15T23:03:43.226619Z,2026-03-19T04:00:00Z,Penn,Illinois,Penn vs Illinois,game_winner
polymarket_gamma_slug,286020,Prairie View A&M Panthers vs. Florida Gators,cbb-pvam-fl-2026-03-20,1649974,0x253310f4e8839dd3eab2cffac9585f723ea7f1e88dc5cf36032186ac12a0722b,0x4984ffe9af1b75af0cc207d8b5d76f0ff7b925ccabec3efe71774bb160b90c9e,Prairie View A&M Panthers vs. Florida Gators,Prairie View A&M Panthers vs. Florida Gators,cbb-pvam-fl-2026-03-20,"[""Prairie View A&M Panthers"", ""Florida Gators""]","[""93692058997916821630227683765337700778148812937100324458244474729785610766780"", ""38468583956973569139483379322927785078119689767943787258589960939647369019676""]",True,True,,,2026-03-19T12:04:06.086223Z,2026-03-21T01:25:00Z,Prairie View A&M,Florida,Prairie View A&M vs Florida,game_winner
polymarket_gamma_slug,274193,Queens (NC) Royals vs. Purdue Boilermakers,cbb-queen-pur-2026-03-20,1602246,0x281b8f17cea3d2b6bc0982b55411d094f569ac9219aa53b001e12c49cd8b11e4,0x82e9d55533069a555a8cc146841cf3342ae04e848f329e70c43c66540b3904f1,Queens (NC) Royals vs. Purdue Boilermakers,Queens (NC) Royals vs. Purdue Boilermakers,cbb-queen-pur-2026-03-20,"[""Queens (NC) Royals"", ""Purdue Boilermakers""]","[""108608431028516805322910059035854453364954187404710588904556256395227379154690"", ""94825023307695897341413564197216476268630722522032138668056667049777676974099""]",True,True,,,2026-03-15T23:05:37.06364Z,2026-03-20T04:00:00Z,Queens (N.C.),Purdue,Queens (N.C.) vs Purdue,game_winner
polymarket_gamma_slug,274176,Texas A&M Aggies vs. Saint Mary's Gaels,cbb-txam-stmry-2026-03-19,1602082,0x3d2d3d25ed175592f709cadcc9afb488d0445ba906aab282d4e0f2f553752991,0xd413ed25e0cd90ec45a63e5afa18b38a59ae9ea5b92ad259d3f6aad978beec50,Texas A&M Aggies vs. Saint Mary's Gaels,Texas A&M Aggies vs. Saint Mary's Gaels,cbb-txam-stmry-2026-03-19,"[""Texas A&M Aggies"", ""Saint Mary's Gaels""]","[""105762781628898089029582560551473093466427670167883803785334513336753998221944"", ""53033511085124805981399975297553063209712114340038544865571483069211885971492""]",True,True,,,2026-03-15T23:05:37.90739Z,2026-03-19T04:00:00Z,Texas A&M,Saint Mary's,Texas A&M vs Saint Mary's,game_winner
